,branch,label,base,"('Line', 'ln7-8')",snapshot
2,Transformer,xf9-3,-80.0,-80.0000000000507,2024-04-11 09:00:00+00:00
3,Line,ln4-5,21.240469622134608,47.60742187498907,2024-04-11 09:00:00+00:00
4,Line,ln6-4,6.025625872137284,32.39257812500534,2024-04-11 09:00:00+00:00
5,Line,ln6-9,-53.633047747137276,-80.00000000000534,2024-04-11 09:00:00+00:00
6,Line,ln5-7,-26.366952252865396,-1.0953016271741944e-11,2024-04-11 09:00:00+00:00
7,Line,ln7-8,-26.36695225286525,0.0,2024-04-11 09:00:00+00:00
8,Line,ln8-9,-26.36695225286524,2.1316282072803006e-14,2024-04-11 09:00:00+00:00
0,Transformer,xf1-4,16.484374999997197,16.48437499998363,2024-04-11 10:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 10:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005056,2024-04-11 10:00:00+00:00
3,Line,ln4-5,21.94796103848291,48.24218749998894,2024-04-11 10:00:00+00:00
4,Line,ln6-4,5.463586038485713,31.757812500005297,2024-04-11 10:00:00+00:00
5,Line,ln6-9,-53.70577353848572,-80.00000000000531,2024-04-11 10:00:00+00:00
6,Line,ln5-7,-26.2942264615171,-1.1095124818893964e-11,2024-04-11 10:00:00+00:00
7,Line,ln7-8,-26.294226461516782,0.0,2024-04-11 10:00:00+00:00
8,Line,ln8-9,-26.29422646151678,1.4210854715202004e-14,2024-04-11 10:00:00+00:00
0,Transformer,xf1-4,17.55859374999707,17.558593749983533,2024-04-11 11:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 11:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005045,2024-04-11 11:00:00+00:00
3,Line,ln4-5,22.546607621546844,48.7792968749888,2024-04-11 11:00:00+00:00
4,Line,ln6-4,4.988013871549774,31.220703125005258,2024-04-11 11:00:00+00:00
5,Line,ln6-9,-53.76731074654977,-80.00000000000526,2024-04-11 11:00:00+00:00
6,Line,ln5-7,-26.232689253453152,-1.1219469797651982e-11,2024-04-11 11:00:00+00:00
7,Line,ln7-8,-26.232689253452687,0.0,2024-04-11 11:00:00+00:00
8,Line,ln8-9,-26.232689253452676,2.1316282072803006e-14,2024-04-11 11:00:00+00:00
0,Transformer,xf1-4,18.437499999996973,18.437499999983466,2024-04-11 12:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 12:00:00+00:00
2,Transformer,xf9-3,-79.99999999998545,-80.0000000000358,2024-04-11 12:00:00+00:00
3,Line,ln4-5,23.03640937132643,49.2187499999887,2024-04-11 12:00:00+00:00
4,Line,ln6-4,4.598909371329465,30.781250000005237,2024-04-11 12:00:00+00:00
5,Line,ln6-9,-53.81765937132946,-80.00000000000524,2024-04-11 12:00:00+00:00
6,Line,ln5-7,-26.182340628673572,-1.1322498494337196e-11,2024-04-11 12:00:00+00:00
7,Line,ln7-8,-26.182340628672982,0.0,2024-04-11 12:00:00+00:00
8,Line,ln8-9,-26.182340628672975,1.7763568394002505e-14,2024-04-11 12:00:00+00:00
0,Transformer,xf1-4,19.12109374999689,19.1210937499834,2024-04-11 13:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 13:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005028,2024-04-11 13:00:00+00:00
3,Line,ln4-5,23.41736628782167,49.56054687498863,2024-04-11 13:00:00+00:00
4,Line,ln6-4,4.296272537824773,30.439453125005212,2024-04-11 13:00:00+00:00
5,Line,ln6-9,-53.85681941282478,-80.00000000000523,2024-04-11 13:00:00+00:00
6,Line,ln5-7,-26.143180587178335,-1.1397105481592007e-11,2024-04-11 13:00:00+00:00
7,Line,ln7-8,-26.143180587177653,0.0,2024-04-11 13:00:00+00:00
8,Line,ln8-9,-26.143180587177646,1.7763568394002505e-14,2024-04-11 13:00:00+00:00
0,Transformer,xf1-4,19.609374999996838,19.609374999983363,2024-04-11 14:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 14:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005022,2024-04-11 14:00:00+00:00
3,Line,ln4-5,23.689478371032553,49.804687499988574,2024-04-11 14:00:00+00:00
4,Line,ln6-4,4.08010337103571,30.195312500005194,2024-04-11 14:00:00+00:00
5,Line,ln6-9,-53.884790871035705,-80.0000000000052,2024-04-11 14:00:00+00:00
6,Line,ln5-7,-26.11520912896745,-1.1450396186774014e-11,2024-04-11 14:00:00+00:00
7,Line,ln7-8,-26.115209128966704,0.0,2024-04-11 14:00:00+00:00
8,Line,ln8-9,-26.11520912896669,2.4868995751603507e-14,2024-04-11 14:00:00+00:00
0,Transformer,xf1-4,19.90234374999681,19.902343749983345,2024-04-11 15:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 15:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005018,2024-04-11 15:00:00+00:00
3,Line,ln4-5,23.85274562095908,49.95117187498853,2024-04-11 15:00:00+00:00
4,Line,ln6-4,3.9504018709622697,30.048828125005183,2024-04-11 15:00:00+00:00
5,Line,ln6-9,-53.90157374596227,-80.00000000000519,2024-04-11 15:00:00+00:00
6,Line,ln5-7,-26.09842625404092,-1.148592332356202e-11,2024-04-11 15:00:00+00:00
7,Line,ln7-8,-26.09842625404013,0.0,2024-04-11 15:00:00+00:00
8,Line,ln8-9,-26.09842625404012,2.1316282072803006e-14,2024-04-11 15:00:00+00:00
0,Transformer,xf1-4,19.9999999999968,19.999999999983338,2024-04-11 16:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 16:00:00+00:00
2,Transformer,xf9-3,-79.99999999998545,-80.00000000003563,2024-04-11 16:00:00+00:00
3,Line,ln4-5,23.90716803760126,49.999999999988525,2024-04-11 16:00:00+00:00
4,Line,ln6-4,3.907168037604458,30.000000000005176,2024-04-11 16:00:00+00:00
5,Line,ln6-9,-53.90716803760446,-80.00000000000517,2024-04-11 16:00:00+00:00
6,Line,ln5-7,-26.09283196239874,-1.1496581464598421e-11,2024-04-11 16:00:00+00:00
7,Line,ln7-8,-26.092831962397938,0.0,2024-04-11 16:00:00+00:00
8,Line,ln8-9,-26.092831962397938,1.0658141036401503e-14,2024-04-11 16:00:00+00:00
0,Transformer,xf1-4,19.90234374999681,19.902343749983345,2024-04-11 17:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 17:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005018,2024-04-11 17:00:00+00:00
3,Line,ln4-5,23.85274562095908,49.95117187498853,2024-04-11 17:00:00+00:00
4,Line,ln6-4,3.9504018709622697,30.048828125005183,2024-04-11 17:00:00+00:00
5,Line,ln6-9,-53.90157374596227,-80.00000000000519,2024-04-11 17:00:00+00:00
6,Line,ln5-7,-26.09842625404092,-1.148592332356202e-11,2024-04-11 17:00:00+00:00
7,Line,ln7-8,-26.09842625404013,0.0,2024-04-11 17:00:00+00:00
8,Line,ln8-9,-26.09842625404012,2.1316282072803006e-14,2024-04-11 17:00:00+00:00
0,Transformer,xf1-4,19.609374999996838,19.609374999983363,2024-04-11 18:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 18:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005022,2024-04-11 18:00:00+00:00
3,Line,ln4-5,23.689478371032553,49.804687499988574,2024-04-11 18:00:00+00:00
4,Line,ln6-4,4.08010337103571,30.195312500005194,2024-04-11 18:00:00+00:00
5,Line,ln6-9,-53.884790871035705,-80.0000000000052,2024-04-11 18:00:00+00:00
6,Line,ln5-7,-26.11520912896745,-1.1450396186774014e-11,2024-04-11 18:00:00+00:00
7,Line,ln7-8,-26.115209128966704,0.0,2024-04-11 18:00:00+00:00
8,Line,ln8-9,-26.11520912896669,2.4868995751603507e-14,2024-04-11 18:00:00+00:00
0,Transformer,xf1-4,19.12109374999689,19.1210937499834,2024-04-11 19:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 19:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005028,2024-04-11 19:00:00+00:00
3,Line,ln4-5,23.41736628782167,49.56054687498863,2024-04-11 19:00:00+00:00
4,Line,ln6-4,4.296272537824773,30.439453125005212,2024-04-11 19:00:00+00:00
5,Line,ln6-9,-53.85681941282478,-80.00000000000523,2024-04-11 19:00:00+00:00
6,Line,ln5-7,-26.143180587178335,-1.1397105481592007e-11,2024-04-11 19:00:00+00:00
7,Line,ln7-8,-26.143180587177653,0.0,2024-04-11 19:00:00+00:00
8,Line,ln8-9,-26.143180587177646,1.7763568394002505e-14,2024-04-11 19:00:00+00:00
0,Transformer,xf1-4,18.437499999996973,18.437499999983466,2024-04-11 20:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 20:00:00+00:00
2,Transformer,xf9-3,-79.99999999998545,-80.0000000000358,2024-04-11 20:00:00+00:00
3,Line,ln4-5,23.03640937132643,49.2187499999887,2024-04-11 20:00:00+00:00
4,Line,ln6-4,4.598909371329465,30.781250000005237,2024-04-11 20:00:00+00:00
5,Line,ln6-9,-53.81765937132946,-80.00000000000524,2024-04-11 20:00:00+00:00
6,Line,ln5-7,-26.182340628673572,-1.1322498494337196e-11,2024-04-11 20:00:00+00:00
7,Line,ln7-8,-26.182340628672982,0.0,2024-04-11 20:00:00+00:00
8,Line,ln8-9,-26.182340628672975,1.7763568394002505e-14,2024-04-11 20:00:00+00:00
0,Transformer,xf1-4,17.55859374999707,17.558593749983533,2024-04-11 21:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 21:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005045,2024-04-11 21:00:00+00:00
3,Line,ln4-5,22.546607621546844,48.7792968749888,2024-04-11 21:00:00+00:00
4,Line,ln6-4,4.988013871549774,31.220703125005258,2024-04-11 21:00:00+00:00
5,Line,ln6-9,-53.76731074654977,-80.00000000000526,2024-04-11 21:00:00+00:00
6,Line,ln5-7,-26.232689253453152,-1.1219469797651982e-11,2024-04-11 21:00:00+00:00
7,Line,ln7-8,-26.232689253452687,0.0,2024-04-11 21:00:00+00:00
8,Line,ln8-9,-26.232689253452676,2.1316282072803006e-14,2024-04-11 21:00:00+00:00
0,Transformer,xf1-4,16.484374999997197,16.48437499998363,2024-04-11 22:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 22:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005056,2024-04-11 22:00:00+00:00
3,Line,ln4-5,21.94796103848291,48.24218749998894,2024-04-11 22:00:00+00:00
4,Line,ln6-4,5.463586038485713,31.757812500005297,2024-04-11 22:00:00+00:00
5,Line,ln6-9,-53.70577353848572,-80.00000000000531,2024-04-11 22:00:00+00:00
6,Line,ln5-7,-26.2942264615171,-1.1095124818893964e-11,2024-04-11 22:00:00+00:00
7,Line,ln7-8,-26.294226461516782,0.0,2024-04-11 22:00:00+00:00
8,Line,ln8-9,-26.29422646151678,1.4210854715202004e-14,2024-04-11 22:00:00+00:00
0,Transformer,xf1-4,15.214843749997328,15.214843749983725,2024-04-11 23:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 23:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.0000000000507,2024-04-11 23:00:00+00:00
3,Line,ln4-5,21.240469622134608,47.60742187498907,2024-04-11 23:00:00+00:00
4,Line,ln6-4,6.025625872137284,32.39257812500534,2024-04-11 23:00:00+00:00
5,Line,ln6-9,-53.633047747137276,-80.00000000000534,2024-04-11 23:00:00+00:00
6,Line,ln5-7,-26.366952252865396,-1.0953016271741944e-11,2024-04-11 23:00:00+00:00
7,Line,ln7-8,-26.36695225286525,0.0,2024-04-11 23:00:00+00:00
8,Line,ln8-9,-26.36695225286524,2.1316282072803006e-14,2024-04-11 23:00:00+00:00
